**TRAINING STARTED**
Read uni files, total data (1100, 64, 64, 1)
Split into 990 training and 110 validation samples
Starting training...
Epoch 1989/10000: cost 45.750084 , validation cost 855.878967 
Epoch 1999/10000: cost 41.466747 , validation cost 855.330994 
Epoch 2009/10000: cost 42.738914 , validation cost 848.009827 
Epoch 2019/10000: cost 32.407829 , validation cost 851.321350 
Epoch 2029/10000: cost 60.207260 , validation cost 853.093994 
Epoch 2039/10000: cost 47.515347 , validation cost 856.626709 
Epoch 2049/10000: cost 47.655945 , validation cost 856.412476 
Epoch 2059/10000: cost 45.022156 , validation cost 841.093689 
Epoch 2069/10000: cost 71.187431 , validation cost 845.876953 
Epoch 2079/10000: cost 45.179981 , validation cost 857.489319 
Epoch 2089/10000: cost 28.502975 , validation cost 862.927856 
Epoch 2099/10000: cost 39.124977 , validation cost 852.020569 
Epoch 2109/10000: cost 40.662743 , validation cost 849.805237 
Epoch 2119/10000: cost 38.570335 , validation cost 857.140137 
Epoch 2129/10000: cost 44.044296 , validation cost 856.391602 
Epoch 2139/10000: cost 43.353195 , validation cost 857.562988 
Epoch 2149/10000: cost 43.985119 , validation cost 853.083984 
Epoch 2159/10000: cost 59.640663 , validation cost 855.224243 
Epoch 2169/10000: cost 41.677559 , validation cost 851.286011 
Epoch 2179/10000: cost 34.069954 , validation cost 857.653931 
Epoch 2189/10000: cost 43.809189 , validation cost 857.584961 
Epoch 2199/10000: cost 46.044228 , validation cost 856.320435 
Epoch 2209/10000: cost 46.836842 , validation cost 853.092407 
Epoch 2219/10000: cost 34.346893 , validation cost 849.295532 
Epoch 2229/10000: cost 37.891624 , validation cost 846.510986 
Epoch 2239/10000: cost 31.858648 , validation cost 852.107971 
Epoch 2249/10000: cost 39.474743 , validation cost 852.476685 
Epoch 2259/10000: cost 50.252380 , validation cost 847.856140 
Epoch 2269/10000: cost 43.233559 , validation cost 853.046204 
Epoch 2279/10000: cost 38.160332 , validation cost 860.792297 
Epoch 2289/10000: cost 48.083794 , validation cost 854.182373 
Epoch 2299/10000: cost 51.930264 , validation cost 856.778687 
Epoch 2309/10000: cost 59.761299 , validation cost 855.121399 
Epoch 2319/10000: cost 37.694973 , validation cost 857.402283 
Epoch 2329/10000: cost 47.991230 , validation cost 853.935303 
Epoch 2339/10000: cost 51.387627 , validation cost 863.446594 
Epoch 2349/10000: cost 44.397968 , validation cost 858.375366 
Epoch 2359/10000: cost 46.490490 , validation cost 859.404419 
Epoch 2369/10000: cost 38.734261 , validation cost 861.149414 
Epoch 2379/10000: cost 46.208157 , validation cost 858.160339 
Epoch 2389/10000: cost 47.040226 , validation cost 850.888000 
Epoch 2399/10000: cost 49.065346 , validation cost 853.195618 
Epoch 2409/10000: cost 36.603424 , validation cost 852.982117 
Epoch 2419/10000: cost 55.600998 , validation cost 852.790588 
Epoch 2429/10000: cost 44.803703 , validation cost 859.541809 
Epoch 2439/10000: cost 37.929108 , validation cost 861.292847 
Epoch 2449/10000: cost 39.201469 , validation cost 850.597656 
Epoch 2459/10000: cost 38.531239 , validation cost 851.989624 
Epoch 2469/10000: cost 37.860645 , validation cost 851.123352 
Epoch 2479/10000: cost 49.201336 , validation cost 845.527527 
Epoch 2489/10000: cost 32.334846 , validation cost 856.874756 
Epoch 2499/10000: cost 38.199577 , validation cost 850.239258 
Epoch 2509/10000: cost 35.315674 , validation cost 855.016052 
Epoch 2519/10000: cost 37.251244 , validation cost 851.396484 
Epoch 2529/10000: cost 38.484509 , validation cost 851.768250 
Epoch 2539/10000: cost 39.401665 , validation cost 857.584229 
Epoch 2549/10000: cost 57.180363 , validation cost 840.343994 
Epoch 2559/10000: cost 52.899658 , validation cost 845.228149 
Epoch 2569/10000: cost 48.795677 , validation cost 851.941711 
Epoch 2579/10000: cost 56.863026 , validation cost 848.003662 
Epoch 2589/10000: cost 39.855560 , validation cost 847.169189 
Epoch 2599/10000: cost 59.505142 , validation cost 857.223083 
Epoch 2609/10000: cost 40.167210 , validation cost 855.783386 
Epoch 2619/10000: cost 46.310516 , validation cost 862.070435 
Epoch 2629/10000: cost 44.523411 , validation cost 851.737366 
Epoch 2639/10000: cost 53.267166 , validation cost 846.378601 
Epoch 2649/10000: cost 41.008553 , validation cost 849.201965 
Epoch 2659/10000: cost 50.364239 , validation cost 852.921692 
Epoch 2669/10000: cost 47.441383 , validation cost 850.393005 
Epoch 2679/10000: cost 36.078346 , validation cost 852.850342 
Epoch 2689/10000: cost 45.759789 , validation cost 849.659607 
Epoch 2699/10000: cost 46.083565 , validation cost 858.685242 
Epoch 2709/10000: cost 42.128887 , validation cost 851.630005 
Epoch 2719/10000: cost 36.083733 , validation cost 842.471130 
Epoch 2729/10000: cost 52.530418 , validation cost 846.459717 
Epoch 2739/10000: cost 33.929558 , validation cost 857.802368 
Epoch 2749/10000: cost 35.942665 , validation cost 852.958862 
Epoch 2759/10000: cost 35.836823 , validation cost 849.868164 
Epoch 2769/10000: cost 51.079308 , validation cost 844.650635 
Epoch 2779/10000: cost 47.520168 , validation cost 844.262573 
Epoch 2789/10000: cost 35.290237 , validation cost 852.968140 
Epoch 2799/10000: cost 43.086037 , validation cost 848.171875 
Epoch 2809/10000: cost 35.809284 , validation cost 863.471985 
Epoch 2819/10000: cost 42.380527 , validation cost 858.402954 
Epoch 2829/10000: cost 32.978779 , validation cost 848.195923 
Epoch 2839/10000: cost 44.887066 , validation cost 849.168030 
Epoch 2849/10000: cost 58.615707 , validation cost 866.352417 
